state,total_exec_post76,death_row_current
Alabama,70,170
Arizona,39,117
Arkansas,31,30
California,13,692
Colorado,1,0
Connecticut,1,0
Delaware,16,0
Florida,99,330
Georgia,76,42
Idaho,3,8
Illinois,12,0
Indiana,20,8
Kentucky,3,27
Louisiana,28,62
Maryland,5,0
Mississippi,22,37
Missouri,92,20
Montana,3,2
Nebraska,4,12
Nevada,12,65
New Mexico,1,0
North_Carolina,43,139
Ohio,56,135
Oklahoma,116,44
Oregon,2,22
Pennsylvania,3,129
South_Carolina,43,37
South_Dakota,5,1
Tennessee,13,49
Texas,574,199
fed_govt,16,44
Utah,7,7
Virginia,113,0
Washington,5,0
Wyoming,1,0
